id_unidad_lic,num_unidad,clave_lic
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35120,351,20
35117,351,17
3512,351,2
3512,351,2
3511,351,1
35137,351,37
3511,351,1
3512,351,2
35120,351,20
35110,351,10
3512,351,2
35118,351,18
35118,351,18
35110,351,10
35110,351,10
35137,351,37
3511,351,1
35117,351,17
3512,351,2
3512,351,2
35137,351,37
3512,351,2
35137,351,37
3512,351,2
35118,351,18
4009,400,9
40052,400,52
4009,400,9
4009,400,9
4009,400,9
40030,400,30
4003,400,3
4009,400,9
4009,400,9
4009,400,9
4009,400,9
4003,400,3
4003,400,3
4003,400,3
4009,400,9
40030,400,30
40169,401,69
40169,401,69
40169,401,69
40169,401,69
40169,401,69
40169,401,69
4014,401,4
4014,401,4
40129,401,29
4014,401,4
40169,401,69
40129,401,29
4022,402,2
40268,402,68
40268,402,68
4022,402,2
40215,402,15
4022,402,2
40268,402,68
4021,402,1
40213,402,13
4022,402,2
40213,402,13
40216,402,16
40216,402,16
40216,402,16
4022,402,2
40268,402,68
4022,402,2
4022,402,2
4022,402,2
40213,402,13
40219,402,19
4022,402,2
40219,402,19
40268,402,68
4022,402,2
40216,402,16
4022,402,2
41432,414,32
41425,414,25
41450,414,50
41457,414,57
41460,414,60
41432,414,32
41425,414,25
41460,414,60
41436,414,36
41460,414,60
41432,414,32
41431,414,31
41432,414,32
41434,414,34
41432,414,32
41431,414,31
41939,419,39
41939,419,39
41939,419,39
43034,430,34
43034,430,34
43011,430,11
43011,430,11
43015,430,15
43015,430,15
43011,430,11
43011,430,11
43034,430,34
43011,430,11
43011,430,11
43025,430,25
43011,430,11
43011,430,11
43034,430,34
43034,430,34
43011,430,11
43124,431,24
43945,439,45
43965,439,65
43965,439,65
44047,440,47
