id_unidad_lic,num_unidad,clave_lic
10665,106,65
10665,106,65
1075,107,5
1075,107,5
1075,107,5
1075,107,5
1075,107,5
10840,108,40
10842,108,42
10840,108,40
10840,108,40
10828,108,28
10840,108,40
10828,108,28
10828,108,28
10828,108,28
10842,108,42
10842,108,42
10842,108,42
10842,108,42
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10828,108,28
10840,108,40
10842,108,42
10828,108,28
10842,108,42
10840,108,40
10840,108,40
10828,108,28
10842,108,42
10828,108,28
10842,108,42
10840,108,40
10828,108,28
10828,108,28
10828,108,28
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10840,108,40
10842,108,42
10840,108,40
10840,108,40
10842,108,42
10842,108,42
10828,108,28
10842,108,42
10842,108,42
10828,108,28
10842,108,42
10840,108,40
10842,108,42
10840,108,40
10828,108,28
10842,108,42
10840,108,40
10840,108,40
10828,108,28
10828,108,28
10842,108,42
10842,108,42
10842,108,42
10828,108,28
10828,108,28
10828,108,28
10842,108,42
10945,109,45
11539,115,39
14924,149,24
14924,149,24
14924,149,24
14924,149,24
14924,149,24
20011,200,11
20011,200,11
20011,200,11
20011,200,11
20011,200,11
20166,201,66
20166,201,66
20166,201,66
20166,201,66
30070,300,70
30070,300,70
30071,300,71
30070,300,70
30070,300,70
30070,300,70
30070,300,70
30070,300,70
30071,300,71
30070,300,70
30016,300,16
30070,300,70
30071,300,71
30070,300,70
30016,300,16
30071,300,71
30070,300,70
30071,300,71
30071,300,71
30070,300,70
30070,300,70
30150,301,50
30125,301,25
30125,301,25
30150,301,50
30156,301,56
30125,301,25
30150,301,50
30150,301,50
30150,301,50
30125,301,25
30150,301,50
30150,301,50
30150,301,50
30125,301,25
30125,301,25
30150,301,50
30125,301,25
30125,301,25
30150,301,50
30125,301,25
30150,301,50
30150,301,50
30150,301,50
30150,301,50
30150,301,50
30150,301,50
30125,301,25
30125,301,25
30150,301,50
30150,301,50
30150,301,50
30125,301,25
30125,301,25
30150,301,50
30125,301,25
30150,301,50
30125,301,25
30125,301,25
30125,301,25
30156,301,56
30150,301,50
30125,301,25
30150,301,50
30125,301,25
30125,301,25
30125,301,25
30150,301,50
30150,301,50
30150,301,50
30125,301,25
30125,301,25
30344,303,44
30344,303,44
30465,304,65
30465,304,65
30465,304,65
30465,304,65
30465,304,65
30457,304,57
30465,304,65
30465,304,65
30654,306,54
30654,306,54
30654,306,54
30654,306,54
30654,306,54
30654,306,54
30654,306,54
30664,306,64
32649,326,49
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
34024,340,24
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35065,350,65
35065,350,65
35065,350,65
35065,350,65
35057,350,57
35057,350,57
35057,350,57
35057,350,57
35065,350,65
35065,350,65
35065,350,65
35065,350,65
35065,350,65
